id,order_id/id,sequence,vehicle_id/id,fuel_type,vehicle_year,acquisition_id/id,amount,requested_delivery_date,description
order_detail_iload_1,order_iload_11,1,vehicle_iload_6,EV,2022,acquisition_iload_20,1183000.0,2025-11-28,
order_detail_iload_2,order_iload_3,2,vehicle_iload_19,LPG,2014,acquisition_iload_8,1885000.0,2025-11-23,
order_detail_iload_3,order_iload_3,3,vehicle_iload_18,HY,2018,acquisition_iload_1,8902000.0,2025-12-09,Suscipit culpa accusantium unde voluptates nulla assumenda. Quisquam quos libero facilis.
order_detail_iload_4,order_iload_5,4,vehicle_iload_5,LPG,2023,acquisition_iload_19,3503000.0,2025-09-09,Rerum recusandae nihil. Quaerat ut quis nobis in tempora tenetur.
order_detail_iload_5,order_iload_10,5,vehicle_iload_13,HY,2024,acquisition_iload_4,7100000.0,2025-12-20,
order_detail_iload_6,order_iload_17,6,vehicle_iload_17,EV,2012,acquisition_iload_12,3886000.0,2026-01-01,Neque voluptas saepe delectus. Laborum culpa cupiditate qui dicta harum dolorem.
order_detail_iload_7,order_iload_2,7,vehicle_iload_19,LPG,2015,acquisition_iload_17,5950000.0,2025-10-30,
order_detail_iload_8,order_iload_2,8,vehicle_iload_15,LPG,2015,acquisition_iload_1,9228000.0,2025-08-01,
order_detail_iload_9,order_iload_9,9,vehicle_iload_15,EV,2020,acquisition_iload_14,7044000.0,2025-12-16,
order_detail_iload_10,order_iload_8,10,vehicle_iload_11,EV,2018,acquisition_iload_20,8349000.0,2025-08-17,Magnam deserunt harum delectus cumque natus minus. Soluta dignissimos cupiditate aliquid.
order_detail_iload_11,order_iload_10,11,vehicle_iload_20,LPG,2020,acquisition_iload_11,4790000.0,2025-09-09,
order_detail_iload_12,order_iload_8,12,vehicle_iload_9,LPG,2014,acquisition_iload_2,8482000.0,2025-12-29,Accusantium distinctio aliquam dolorum. Ullam accusantium eum sit.
order_detail_iload_13,order_iload_13,13,vehicle_iload_12,G,2013,acquisition_iload_1,3008000.0,2025-08-17,Reiciendis explicabo hic impedit odio. Sit incidunt cum illo dolor et doloremque.
order_detail_iload_14,order_iload_18,14,vehicle_iload_17,EV,2016,acquisition_iload_7,5188000.0,2025-10-31,
order_detail_iload_15,order_iload_16,15,vehicle_iload_10,LPG,2017,acquisition_iload_6,9833000.0,2025-09-14,Possimus eum earum enim nulla consequatur qui.
order_detail_iload_16,order_iload_14,16,vehicle_iload_16,EV,2016,acquisition_iload_1,1330000.0,2025-11-03,
order_detail_iload_17,order_iload_13,17,vehicle_iload_5,EV,2018,acquisition_iload_14,7985000.0,2025-07-24,Sequi quisquam aut aliquid vero neque modi optio. Amet maiores nisi non voluptatem dolorum officia.
order_detail_iload_18,order_iload_11,18,vehicle_iload_2,ETC,2019,acquisition_iload_1,6408000.0,2025-09-11,Sed ab esse eum sed. Nulla necessitatibus odio et porro.
order_detail_iload_19,order_iload_18,19,vehicle_iload_12,LPG,2021,acquisition_iload_8,4485000.0,2025-11-13,
order_detail_iload_20,order_iload_10,20,vehicle_iload_19,HY,2017,acquisition_iload_11,3611000.0,2025-07-15,Eveniet ratione optio accusamus ab. Tempora consequatur occaecati laborum.
order_detail_iload_21,order_iload_10,21,vehicle_iload_12,EV,2020,acquisition_iload_4,9204000.0,2026-01-08,
order_detail_iload_22,order_iload_10,22,vehicle_iload_13,HY,2012,acquisition_iload_3,2584000.0,2026-01-06,Exercitationem consequuntur ex quia. Sint architecto dicta nam et.
order_detail_iload_23,order_iload_3,23,vehicle_iload_13,EV,2010,acquisition_iload_1,1213000.0,2025-10-06,
order_detail_iload_24,order_iload_9,24,vehicle_iload_13,G,2010,acquisition_iload_3,8684000.0,2025-07-11,Quod adipisci tempore itaque eos perferendis. Aperiam dolor repudiandae est pariatur eum enim.
order_detail_iload_25,order_iload_8,25,vehicle_iload_1,LPG,2019,acquisition_iload_3,9555000.0,2025-07-19,Rerum eveniet omnis molestias qui aliquam expedita. Dolor temporibus in. Optio numquam quas.
order_detail_iload_26,order_iload_9,26,vehicle_iload_12,LPG,2020,acquisition_iload_9,6786000.0,2025-12-11,
order_detail_iload_27,order_iload_6,27,vehicle_iload_1,D,2016,acquisition_iload_10,9696000.0,2026-01-02,
order_detail_iload_28,order_iload_8,28,vehicle_iload_1,G,2015,acquisition_iload_1,7205000.0,2025-12-13,
order_detail_iload_29,order_iload_16,29,vehicle_iload_9,G,2018,acquisition_iload_17,1376000.0,2025-08-14,
order_detail_iload_30,order_iload_5,30,vehicle_iload_5,HY,2010,acquisition_iload_19,6247000.0,2025-07-29,
order_detail_iload_31,order_iload_10,31,vehicle_iload_15,HY,2020,acquisition_iload_11,7165000.0,2025-07-21,Adipisci dolorem nesciunt quaerat. Deleniti necessitatibus neque earum eaque.
order_detail_iload_32,order_iload_19,32,vehicle_iload_8,LPG,2018,acquisition_iload_17,9370000.0,2025-09-29,Dignissimos id adipisci dolorem est. Veniam reiciendis nostrum nemo eum quae iure.
order_detail_iload_33,order_iload_5,33,vehicle_iload_14,EV,2018,acquisition_iload_3,2524000.0,2025-08-30,
order_detail_iload_34,order_iload_16,34,vehicle_iload_6,ETC,2019,acquisition_iload_15,1776000.0,2025-08-05,Consequuntur exercitationem natus.
order_detail_iload_35,order_iload_11,35,vehicle_iload_15,EV,2021,acquisition_iload_3,3839000.0,2025-10-24,
order_detail_iload_36,order_iload_15,36,vehicle_iload_13,HY,2010,acquisition_iload_10,2557000.0,2025-09-07,Fugiat illo distinctio laboriosam itaque perferendis magnam.
order_detail_iload_37,order_iload_15,37,vehicle_iload_9,G,2013,acquisition_iload_8,6628000.0,2025-10-29,
order_detail_iload_38,order_iload_8,38,vehicle_iload_5,ETC,2024,acquisition_iload_9,1218000.0,2025-11-09,Aspernatur provident aliquid. Reprehenderit illum minima suscipit. Enim cumque incidunt nihil quia.
order_detail_iload_39,order_iload_15,39,vehicle_iload_6,ETC,2021,acquisition_iload_1,4889000.0,2025-10-02,Perferendis aperiam eos minima dolor sint ex. Veniam dolores cum fugit.
order_detail_iload_40,order_iload_16,40,vehicle_iload_12,ETC,2021,acquisition_iload_20,6925000.0,2025-07-16,Neque quae ad consequatur sunt illo debitis.
