id,order_date,partner_id/id,receiver_partner_id/id,contact_person_id/id,origin_address,origin_country_id/code,destination_address,destination_country_id/code
order_iload_1,2024-10-30,partner_iload_3,partner_iload_15,partner_iload_17,강원도 이천시 테헤란7로 106 (현준김마을),KR,전라북도 옥천군 석촌호수9가 지하419,FR
order_iload_2,2025-01-09,partner_iload_8,partner_iload_4,partner_iload_12,경상북도 삼척시 테헤란43로 197-10 (성민박마을),US,경상남도 여주시 강남대73길 757,JP
order_iload_3,2024-11-07,partner_iload_1,partner_iload_12,partner_iload_9,울산광역시 관악구 언주거리 975,DE,제주특별자치도 증평군 테헤란4가 672-9,CN
order_iload_4,2024-10-13,partner_iload_15,partner_iload_1,partner_iload_7,부산광역시 북구 잠실08길 136 (도현박읍),JP,부산광역시 서구 학동70길 지하662,DE
order_iload_5,2025-05-19,partner_iload_1,partner_iload_7,partner_iload_20,대전광역시 도봉구 언주로 667,DE,대구광역시 강서구 잠실거리 106,JP
order_iload_6,2025-04-19,partner_iload_12,partner_iload_7,partner_iload_2,전라북도 김포시 언주853거리 431-78,CN,경상남도 수원시 영통구 백제고분72로 지하902,DE
order_iload_7,2025-06-19,partner_iload_11,partner_iload_1,partner_iload_6,경기도 안산시 잠실1길 178-97,KR,대전광역시 강동구 역삼로 383,FR
order_iload_8,2024-12-24,partner_iload_10,partner_iload_3,partner_iload_2,부산광역시 은평구 압구정4거리 630 (경수이동),DE,인천광역시 종로구 강남대7거리 지하553,KR
order_iload_9,2025-06-20,partner_iload_20,partner_iload_4,partner_iload_13,강원도 시흥시 삼성로 29-35,JP,전라북도 서산시 도산대3가 761-79 (영수장오읍),JP
order_iload_10,2025-02-15,partner_iload_20,partner_iload_18,partner_iload_14,광주광역시 강동구 영동대558가 150-89,FR,충청남도 이천시 가락247길 지하103 (성현류허동),FR
order_iload_11,2024-08-06,partner_iload_16,partner_iload_16,partner_iload_12,대전광역시 용산구 언주거리 927-43,DE,경상북도 오산시 삼성1길 937,JP
order_iload_12,2025-05-04,partner_iload_6,partner_iload_7,partner_iload_20,충청남도 동두천시 영동대6길 369-68 (영희김마을),FR,전라북도 증평군 양재천969가 784 (지연김동),JP
order_iload_13,2024-11-25,partner_iload_14,partner_iload_5,partner_iload_9,경상남도 구리시 압구정가 635,US,세종특별자치시 서구 서초중앙417가 지하114,DE
order_iload_14,2025-01-28,partner_iload_12,partner_iload_17,partner_iload_9,인천광역시 중랑구 언주514거리 824-28,KR,경기도 용인시 기흥구 삼성123거리 933-10,JP
order_iload_15,2025-03-14,partner_iload_5,partner_iload_9,partner_iload_8,세종특별자치시 남구 삼성2길 794 (지연김박면),KR,충청북도 여주시 논현가 766 (경희강리),US
order_iload_16,2024-07-15,partner_iload_12,partner_iload_2,partner_iload_4,전라남도 서산시 서초대873길 242-92 (아름박박리),JP,경상남도 용인시 기흥구 도산대9가 지하839,FR
order_iload_17,2024-07-20,partner_iload_13,partner_iload_13,partner_iload_19,강원도 원주시 잠실549가 384 (재현문마을),US,인천광역시 마포구 서초대9로 980 (은영김동),KR
order_iload_18,2025-06-10,partner_iload_19,partner_iload_18,partner_iload_12,부산광역시 도봉구 양재천12가 921 (재현오이리),US,울산광역시 동구 영동대거리 938-44,JP
order_iload_19,2025-02-22,partner_iload_18,partner_iload_12,partner_iload_16,경상북도 춘천시 가락가 828-71 (영자장김마을),FR,경기도 강릉시 역삼714가 870,CN
order_iload_20,2024-07-28,partner_iload_14,partner_iload_10,partner_iload_1,부산광역시 양천구 반포대7길 지하369 (성수박동),US,세종특별자치시 중랑구 압구정08로 지하624 (병철황오리),CN
