id,name,order_detail_id/id,shipping_method,shipping_date
shipping_iload_1,SHIP935715,order_detail_iload_36,ro_ro,2025-02-07
shipping_iload_2,SHIP550659,order_detail_iload_12,ro_ro,2025-04-28
shipping_iload_3,SHIP510661,order_detail_iload_9,ro_ro,2025-02-26
shipping_iload_4,SHIP309509,order_detail_iload_25,ro_ro,2025-03-25
shipping_iload_5,SHIP624445,order_detail_iload_16,ro_ro,2025-05-22
shipping_iload_6,SHIP839115,order_detail_iload_33,ro_ro,2025-07-03
shipping_iload_7,SHIP909130,order_detail_iload_13,ro_ro,2025-01-23
shipping_iload_8,SHIP176650,order_detail_iload_1,ro_ro,2025-02-01
shipping_iload_9,SHIP761051,order_detail_iload_30,container,2025-06-18
shipping_iload_10,SHIP565856,order_detail_iload_38,container,2025-06-27
shipping_iload_11,SHIP598079,order_detail_iload_7,ro_ro,2025-03-14
shipping_iload_12,SHIP516613,order_detail_iload_23,container,2025-02-19
shipping_iload_13,SHIP789008,order_detail_iload_34,container,2025-07-10
shipping_iload_14,SHIP866559,order_detail_iload_5,ro_ro,2025-04-06
shipping_iload_15,SHIP733777,order_detail_iload_18,ro_ro,2025-05-19
shipping_iload_16,SHIP620316,order_detail_iload_22,container,2025-07-06
shipping_iload_17,SHIP842062,order_detail_iload_31,container,2025-04-07
shipping_iload_18,SHIP728008,order_detail_iload_23,container,2025-03-26
shipping_iload_19,SHIP519614,order_detail_iload_33,container,2025-04-14
shipping_iload_20,SHIP452725,order_detail_iload_7,ro_ro,2025-03-07
shipping_iload_21,SHIP956060,order_detail_iload_6,container,2025-04-09
shipping_iload_22,SHIP193498,order_detail_iload_2,container,2025-06-29
shipping_iload_23,SHIP886683,order_detail_iload_21,container,2025-06-13
shipping_iload_24,SHIP980926,order_detail_iload_8,ro_ro,2025-07-08
shipping_iload_25,SHIP603619,order_detail_iload_9,ro_ro,2025-02-11
shipping_iload_26,SHIP372672,order_detail_iload_28,ro_ro,2025-05-22
shipping_iload_27,SHIP239495,order_detail_iload_5,ro_ro,2025-04-09
shipping_iload_28,SHIP461989,order_detail_iload_13,container,2025-03-16
shipping_iload_29,SHIP773861,order_detail_iload_34,container,2025-02-17
shipping_iload_30,SHIP758215,order_detail_iload_23,container,2025-05-14
