id,name,vehicle_type,is_active,description
vehicle_iload_1,소나타,ship,False,Non consequatur neque provident iusto. Non quos itaque at animi reiciendis minima dolorum.
vehicle_iload_2,아반떼,motorcycle,True,Ipsa iusto perspiciatis ipsam. Sint voluptatibus eum dolores facilis assumenda.
vehicle_iload_3,BMW,suv,False,
vehicle_iload_4,K7,etc,True,Consequuntur mollitia tempora veritatis sit beatae nemo. Aliquid voluptatum aliquid expedita quae.
vehicle_iload_5,마티즈,motorcycle,True,Reiciendis accusamus repellat iste. Modi neque iusto eius soluta pariatur ab similique.
vehicle_iload_6,K7,trailer,True,
vehicle_iload_7,람보르기니,plane,True,Repudiandae quis at sapiente maxime nisi minima. Dolorum eveniet modi aut dolorum voluptate.
vehicle_iload_8,산타페,sedan,True,
vehicle_iload_9,산타페,trailer,True,Similique ducimus dolore veritatis. Corporis porro dignissimos culpa incidunt.
vehicle_iload_10,K7,truck,True,Aperiam voluptatem dolorem debitis atque sapiente. Blanditiis dolores alias dignissimos culpa.
vehicle_iload_11,스타렉스,suv,True,
vehicle_iload_12,K8,coupe,True,
vehicle_iload_13,모하비,plane,False,Nulla rerum debitis sint quos reprehenderit. Voluptas dicta sit.
vehicle_iload_14,K8,coupe,False,Fugiat possimus impedit. Praesentium exercitationem corporis.
vehicle_iload_15,K7,motorcycle,True,Accusamus at autem placeat voluptas.
vehicle_iload_16,모하비,etc,False,
vehicle_iload_17,소나타,etc,True,
vehicle_iload_18,BMW,special,True,
vehicle_iload_19,스타렉스,motorcycle,True,
vehicle_iload_20,마티즈,special,True,Ipsum quae provident optio. Iure reiciendis harum labore atque.
